"search-number","evaluation","weight1*","weight2*","weight3*","weight4*","weight5*","weight6*","weight7*","weight8*","weight9*","weight10*","weight11*","weight12*","weight13*","weight14*","weight15*","weight16*","weight17*","weight18*","weight19*","weight20*","weight21*","weight22*","weight23*","weight24*","weight25*","weight26*","weight27*","weight28*","weight29*","weight30*","weight31*","weight32*","weight33*","weight34*","weight35*","weight36*","weight37*","weight38*","weight39*","weight40*","weight41*","weight42*","weight43*","weight44*","weight45*","weight46*","weight47*","weight48*","weight49*","weight50*","weight51*","weight52*","weight53*","weight54*","weight55*","weight56*","weight57*","weight58*","weight59*","weight60*","weight61*","weight62*","weight63*","weight64*","weight65*","weight66*","weight67*","weight68*","weight69*","weight70*","weight71*","weight72*","weight73*","weight74*","weight75*","weight76*","weight77*","weight78*","delay1*","delay2*","delay3*","delay4*","delay5*","delay6*","delay7*","delay8*","delay9*","delay10*","delay11*","delay12*","delay13*","delay14*","delay15*","delay16*","delay17*","delay18*","delay19*","delay20*","delay21*","delay22*","delay23*","delay24*","delay25*","delay26*","delay27*","delay28*","delay29*","delay30*","delay31*","delay32*","delay33*","delay34*","delay35*","delay36*","delay37*","delay38*","delay39*","delay40*","delay41*","delay42*","delay43*","delay44*","delay45*","delay46*","delay47*","delay48*","delay49*","delay50*","delay51*","delay52*","delay53*","delay54*","delay55*","delay56*","delay57*","delay58*","delay59*","delay60*","delay61*","delay62*","delay63*","delay64*","delay65*","delay66*","delay67*","delay68*","delay69*","delay70*","delay71*","delay72*","delay73*","delay74*","delay75*","delay76*","delay77*","delay78*","num-replicates","best-fitness-so-far"
"1","1","-17.4","-10","-16.8","14.399999999999999","-16.2","-9","2.8000000000000007","0.40000000000000213","-10","-18","-3","-3.3999999999999986","-17","-2","-11.6","14.800000000000004","-19.6","0.20000000000000284","-10","4.800000000000001","-1.8000000000000007","17.200000000000003","8","1.4000000000000021","-8","1","-17.8","3.6000000000000014","-1.3999999999999986","-4.6","3.6000000000000014","-11.4","-13","11.8","-7.799999999999999","9","-7.399999999999999","12.800000000000004","-4.799999999999999","14.200000000000003","-0.7999999999999972","-7.6","20","8.200000000000003","1.2000000000000028","-8.6","11.8","-4.199999999999999","-8.799999999999999","-13.2","-0.7999999999999972","12.800000000000004","-4.199999999999999","-9.2","-12.399999999999999","-4.199999999999999","16","19.6","1.2000000000000028","-14.399999999999999","4.400000000000002","-7.399999999999999","2.6000000000000014","6.400000000000002","5","16.200000000000003","-14.8","13","-17","20","-8.6","14.399999999999999","5","19.800000000000004","-4","-12.2","4.600000000000001","15.399999999999999","5","7","2","2","2","4","4","2","5","3","7","1","5","3","2","4","1","2","3","3","3","6","6","5","6","5","6","5","2","5","1","7","1","2","2","3","2","4","6","7","5","7","2","1","3","1","5","7","3","5","2","6","7","6","4","6","6","7","1","3","3","5","6","3","2","2","3","3","3","3","7","3","6","4","3","7","3","6","1","-6077.5"
"1","2","-0.5999999999999979","0.6000000000000014","-12.399999999999999","14.200000000000003","-20","-16","6.800000000000001","-11","3.8000000000000007","13.600000000000001","5.200000000000003","18.400000000000006","17.6","-14.8","0.20000000000000284","-8.799999999999999","-1","19.800000000000004","17.200000000000003","-18","-4.799999999999999","-0.1999999999999993","5.400000000000002","-16.8","-1.8000000000000007","0","-18.4","-3.1999999999999993","-17.8","-15.8","0.20000000000000284","-13.6","8.600000000000001","5.400000000000002","-5.6","-14.6","-16.2","-13","17.200000000000003","3.8000000000000007","11","-14","-14.6","18.200000000000003","12.399999999999999","-11.6","-9","-3.1999999999999993","-16.8","5.200000000000003","12.600000000000001","-16","-9.399999999999999","-6.399999999999999","17","-10.399999999999999","7","12","-1","-11.2","-10.2","-16.4","-9","6.200000000000003","-12.8","-15.399999999999999","14","2.200000000000003","1","-13","18.400000000000006","3.400000000000002","16.4","17","-2.599999999999998","-14","16.200000000000003","-7.799999999999999","5","7","1","4","5","3","6","2","2","5","3","2","1","7","1","2","1","1","2","6","4","7","2","3","1","3","4","5","5","5","3","4","1","5","2","7","1","6","1","4","4","7","6","5","7","6","7","3","2","5","2","1","7","4","4","7","3","2","4","6","5","4","5","5","6","2","2","7","7","4","7","4","6","6","6","1","3","4","1","-4996"
"1","3","-7","16.800000000000004","-2","3.400000000000002","14.600000000000001","1","-1","7.800000000000001","0.8000000000000007","-4","17","-0.5999999999999979","2.400000000000002","-9.2","7.400000000000002","-17.2","-16.4","-7.6","19","-18.4","-5.6","-16.8","13.200000000000003","14.800000000000004","-15.399999999999999","-16.8","3.6000000000000014","-11.4","-15.2","14.800000000000004","-0.5999999999999979","-18.2","-16.4","10.600000000000001","-16.8","14.200000000000003","8.8","-13","-17.8","-13","-1.5999999999999979","-0.5999999999999979","11.8","1","12.399999999999999","-17.4","12.399999999999999","-5.199999999999999","-1","-1.5999999999999979","-16","-15.8","-11.799999999999999","1.8000000000000007","17","-19.2","-11.799999999999999","13.800000000000004","6.800000000000001","-4.799999999999999","-8.399999999999999","6.400000000000002","-1.5999999999999979","-14.6","-1.1999999999999993","-2.1999999999999993","4.400000000000002","1.8000000000000007","-2.8000000000000007","5.600000000000001","2","8.200000000000003","-2.599999999999998","-5.799999999999999","-13.399999999999999","-2.599999999999998","2.6000000000000014","-2.1999999999999993","6","7","3","2","1","3","6","1","5","5","3","7","2","1","7","1","1","7","1","4","5","6","1","7","4","6","7","1","5","2","1","7","5","7","5","1","1","3","7","5","4","2","1","4","5","5","1","6","7","4","6","6","2","5","1","7","4","7","5","4","3","6","1","6","5","4","1","3","2","4","7","4","5","1","6","6","1","1","1","-3643.5"
"1","6","-9","17","-11.2","10.8","-9.6","15.200000000000003","-16.6","12.600000000000001","2.400000000000002","-4","-9.2","18.400000000000006","13.800000000000004","10.200000000000003","4.200000000000003","14.200000000000003","2.400000000000002","19.6","-19.8","-16.4","-10.799999999999999","-2.8000000000000007","-10.6","10.8","-8.6","-19","12.200000000000003","3.200000000000003","-15.8","-8.799999999999999","15.600000000000001","-13.2","-12.8","3","11.8","-4.199999999999999","0.20000000000000284","-3.8000000000000007","12.200000000000003","14.200000000000003","13","9.600000000000001","15","-17.4","-6.199999999999999","3.6000000000000014","-2.3999999999999986","-15.8","15.200000000000003","19.800000000000004","3.400000000000002","6.400000000000002","-15.2","-16.6","-13.6","-13.2","-15.6","-14","-12.2","-4","-18","17.800000000000004","2","-11.799999999999999","-11.2","9.200000000000003","-15.2","7.200000000000003","1.2000000000000028","-12.399999999999999","-15","8.8","14.399999999999999","4.200000000000003","-16.6","-11.4","-15.8","-1.1999999999999993","5","1","1","3","2","4","4","3","6","6","1","3","4","4","5","4","2","1","4","6","6","4","2","3","7","1","7","4","5","1","5","6","3","4","2","6","3","5","4","6","7","6","3","7","5","6","3","6","5","1","4","1","4","7","7","7","2","5","4","1","6","3","3","3","5","5","4","2","1","4","3","6","6","4","6","1","6","6","1","0"
"1","266","-9.399999999999999","19.200000000000003","-15.399999999999999","5.600000000000001","9.200000000000003","17.800000000000004","10.8","14.600000000000001","-7.6","14","-1.5999999999999979","4.600000000000001","11","-11","-1.8000000000000007","-12.399999999999999","-5.199999999999999","13.800000000000004","-1.8000000000000007","-9.399999999999999","17.4","7.800000000000001","19.6","-19.2","0.20000000000000284","-4.799999999999999","-19.6","10","20","-6.399999999999999","16","-8","-7","-5.799999999999999","-9","9.400000000000002","6.400000000000002","-20","20","10.8","17.800000000000004","14.800000000000004","-14.6","-6.799999999999999","-9","-18.6","-11.2","-10.799999999999999","1.8000000000000007","-12.6","-18.6","-17.2","-9","-16.2","-6.199999999999999","17.200000000000003","11","10.600000000000001","11.200000000000003","19.200000000000003","9.600000000000001","4.800000000000001","11.8","-5.799999999999999","16.800000000000004","-6.199999999999999","-18.4","-18.8","12.600000000000001","-20","-4.199999999999999","4.200000000000003","-14.8","-4.399999999999999","-12.399999999999999","-17.8","4.200000000000003","9.400000000000002","1","3","5","2","6","1","7","6","2","1","2","1","7","3","2","6","6","2","1","3","7","1","1","3","2","4","1","1","5","6","5","4","4","3","7","5","7","6","4","3","6","1","3","1","3","5","2","4","6","1","4","6","4","7","7","1","7","4","5","1","5","4","1","3","2","4","5","1","2","1","6","2","7","5","1","7","3","3","1","2"
"1","309","-9.399999999999999","19.200000000000003","-20","5.600000000000001","12.200000000000003","17.800000000000004","10.8","14.600000000000001","-7.6","14","-1.5999999999999979","4.600000000000001","11","-11","-1.8000000000000007","-12.399999999999999","-5.199999999999999","13.800000000000004","-1.8000000000000007","-9.399999999999999","17.4","7.800000000000001","19.6","-19.2","0.20000000000000284","-4.799999999999999","-19.6","10","20","-6.399999999999999","16","-8","-4.6","-5.799999999999999","-9","9.400000000000002","6.400000000000002","-20","20","10.8","17.800000000000004","14.800000000000004","-14.6","-6.799999999999999","-9","-18.6","-11.2","-9.399999999999999","1.8000000000000007","-12.6","-18.6","-17.2","-9","-16.2","-5","17.200000000000003","11","10.600000000000001","11.200000000000003","19.200000000000003","9.600000000000001","4.800000000000001","11.8","-5.799999999999999","16.800000000000004","-6.199999999999999","-18.4","-18.8","12.600000000000001","-20","-4.199999999999999","3.6000000000000014","-14.8","-4.399999999999999","-12.399999999999999","-16","4.200000000000003","9.400000000000002","1","3","5","1","6","1","6","6","2","1","2","1","7","3","2","6","6","2","1","3","7","5","4","2","1","5","7","2","7","7","5","2","4","2","7","6","4","5","6","2","1","2","6","1","5","3","6","7","3","6","3","7","6","2","7","5","7","6","6","6","4","1","4","7","4","1","4","5","4","1","1","7","5","2","2","3","3","3","1","3"
"1","392","-10","19.200000000000003","-15.399999999999999","5.600000000000001","11.400000000000002","17.800000000000004","10.8","19","-7.6","16.200000000000003","-1.5999999999999979","0.20000000000000284","6.200000000000003","-11","-1.8000000000000007","-12.399999999999999","-5.199999999999999","13.800000000000004","2","-9.399999999999999","18.200000000000003","7.800000000000001","20","-16.8","0.20000000000000284","-4.799999999999999","-19.6","17.6","20","-12","16","-8","-7","-5.799999999999999","-9","18.200000000000003","6.400000000000002","-20","20","10.8","17.800000000000004","11.400000000000002","-14.6","-6.399999999999999","-9","-20","-10.799999999999999","-5.799999999999999","5.200000000000003","-8.2","-18.6","-17.2","-9","-16.2","-6.199999999999999","19.800000000000004","11","10.600000000000001","7.400000000000002","19.200000000000003","9.600000000000001","4.800000000000001","11.8","-5.799999999999999","16.800000000000004","-6.199999999999999","-18.4","-18.8","12.600000000000001","-20","-4.199999999999999","4.200000000000003","-14.8","-3.8000000000000007","-12.399999999999999","-17.8","6.200000000000003","9.400000000000002","1","3","6","2","6","1","7","6","2","1","2","1","7","4","2","5","6","2","1","3","7","1","1","3","2","4","1","1","5","5","5","5","4","3","7","5","7","6","4","3","6","1","3","1","3","5","3","4","6","1","3","6","5","7","7","1","7","4","5","1","6","3","1","3","2","4","5","1","3","1","6","2","7","5","1","7","4","3","1","4"
"1","491","-9.399999999999999","20","-14.8","5.600000000000001","11.400000000000002","17.800000000000004","10.400000000000002","14.600000000000001","-7.6","14","-4","2.8000000000000007","6.200000000000003","-11","3.400000000000002","-7.6","-9.399999999999999","13.800000000000004","-1.8000000000000007","-4.799999999999999","18.200000000000003","7.800000000000001","20","-16.8","0.20000000000000284","-4.799999999999999","-19.2","10","20","-16.2","12.800000000000004","-8","-7","-6.199999999999999","-13.6","9.400000000000002","2","-20","19.200000000000003","10.8","15.600000000000001","9","-9.6","-10.6","-9","-18.6","-11.2","-9.799999999999999","5.200000000000003","-9.6","-18.6","-20","-9","-20","-6.199999999999999","19.800000000000004","11","14.200000000000003","11.200000000000003","20","9.600000000000001","5","11.8","-6","20","-5.399999999999999","-14.8","-20","16.800000000000004","-20","-4.199999999999999","4.200000000000003","-14.8","-4.6","-12.399999999999999","-17.8","4.200000000000003","9.400000000000002","1","3","5","2","6","2","7","6","2","1","2","1","7","4","2","6","5","2","1","3","7","2","5","1","6","2","7","7","1","6","6","2","6","6","1","3","2","6","2","1","1","3","6","1","5","3","7","7","3","5","3","7","6","3","7","5","7","7","6","7","4","1","4","7","3","1","4","4","4","1","1","7","5","2","3","1","4","3","1","5"
"1","494","-6.6","19.200000000000003","-7.199999999999999","5.600000000000001","7.200000000000003","17.800000000000004","16.200000000000003","19","-7.6","17.200000000000003","0.6000000000000014","0.20000000000000284","6.200000000000003","-11","-1.8000000000000007","-12.399999999999999","-8.2","13.800000000000004","4.200000000000003","-9.6","18.200000000000003","7.800000000000001","20","-16.8","0.20000000000000284","-6.199999999999999","-19.4","17.6","20","-6","16","-13","-6.6","-5.799999999999999","-6.6","20","6.400000000000002","-20","20","10.8","17.800000000000004","14.800000000000004","-14.6","-6.799999999999999","-9","-16.4","-1.3999999999999986","-5.799999999999999","5.200000000000003","-8.2","-18.6","-20","-9","-16.2","-6.799999999999999","19.800000000000004","12","10.600000000000001","8.8","19.200000000000003","9.600000000000001","4.800000000000001","11.400000000000002","-5.799999999999999","16.800000000000004","-6.199999999999999","-18.4","-18.8","12.600000000000001","-20","-4.6","14.200000000000003","-14.8","-3.8000000000000007","-12.399999999999999","-20","6.200000000000003","9.400000000000002","1","3","6","3","6","1","7","6","2","1","2","1","7","4","2","5","6","2","2","3","7","1","1","3","2","3","1","1","5","5","5","5","4","4","7","5","7","6","4","1","1","1","6","5","7","7","4","2","4","1","4","6","5","7","7","1","7","4","6","1","7","4","1","2","2","4","5","1","2","1","6","2","7","5","1","7","4","3","1","6"
"1","500","-9.399999999999999","20","-15.399999999999999","5.600000000000001","11.400000000000002","17.800000000000004","10.8","14.600000000000001","-7.6","14","4.200000000000003","4.600000000000001","0.20000000000000284","-7","2","-9.799999999999999","-5.199999999999999","16.4","-1.8000000000000007","-9.399999999999999","18.200000000000003","10","19.6","-16.8","6.200000000000003","-10.799999999999999","-20","10","20","-12","13.600000000000001","-8","-5","-5.799999999999999","-9","8","12.600000000000001","-20","20","10.8","17.800000000000004","14.800000000000004","-14.6","-6.799999999999999","-9","-16.4","-1.3999999999999986","-5.799999999999999","5.200000000000003","-8.2","-18.6","-20","-9","-16.2","-6.799999999999999","19.800000000000004","11","10.600000000000001","7.400000000000002","19.200000000000003","9.600000000000001","4.800000000000001","11.400000000000002","-5.799999999999999","16.800000000000004","-6.199999999999999","-18.4","-18.8","12.600000000000001","-20","-4.199999999999999","14.200000000000003","-14.8","-3.8000000000000007","-12.399999999999999","-17.8","6.200000000000003","9.400000000000002","1","3","6","3","6","1","7","6","3","1","2","1","7","4","2","6","6","2","1","3","7","1","1","2","2","3","1","1","5","6","5","4","4","3","7","5","7","6","4","2","6","1","3","1","3","5","2","4","6","1","4","6","5","7","7","1","7","4","5","1","6","4","1","3","3","4","6","1","3","1","6","2","7","5","1","7","4","3","1","13"
"1","619","-9.399999999999999","19.200000000000003","-1.8000000000000007","12.200000000000003","10.400000000000002","18.200000000000003","15.600000000000001","15.600000000000001","-7.6","16.4","-6.199999999999999","2","6.200000000000003","-20","-7.6","-12.399999999999999","-20","13.800000000000004","6","-4","17","7.800000000000001","19.6","-13","-1.8000000000000007","-8.2","-15.399999999999999","10","20","-12","2.400000000000002","-8","8.400000000000002","-13.6","-15.399999999999999","18.200000000000003","6.400000000000002","-18.6","20","11.600000000000001","17.800000000000004","14.800000000000004","-14.6","0.20000000000000284","-11.4","-16.8","-17.6","-13.399999999999999","6","-5.399999999999999","-17","-11.6","-7.199999999999999","-11.2","-2.3999999999999986","19.800000000000004","2.8000000000000007","8","11.400000000000002","20","9.600000000000001","9.200000000000003","12","-5.799999999999999","16.800000000000004","-6.199999999999999","-12","-20","12.600000000000001","-10.799999999999999","-4.199999999999999","12.600000000000001","-14.8","-7.6","-9.2","-20","6.200000000000003","9.400000000000002","1","3","6","3","6","1","7","6","2","1","2","1","7","4","2","5","6","2","2","3","7","1","1","3","2","3","1","1","4","5","5","5","3","4","7","5","7","5","4","1","1","1","6","5","7","7","4","2","4","2","4","6","5","7","6","1","7","4","6","1","7","4","1","2","2","3","5","1","2","1","6","2","7","5","1","7","4","2","1","15"
"1","640","-9.399999999999999","20","-1.8000000000000007","6.400000000000002","10.400000000000002","18.200000000000003","9.200000000000003","15.600000000000001","-13.2","14","-5.799999999999999","2","2.400000000000002","-20","-7.6","-13.8","-8.2","13.800000000000004","4.200000000000003","-9.6","18.200000000000003","7.400000000000002","20","-16.8","0.20000000000000284","-6.199999999999999","-19.8","17.6","20","-6","12","-13","-20","-5.799999999999999","-5","20","6.400000000000002","-20","20","10.8","17.800000000000004","11.200000000000003","-18","-6.799999999999999","-9","-16.4","0","-5.799999999999999","5.200000000000003","-8.2","-20","-20","-13.399999999999999","-12.6","-10.2","20","12","10.600000000000001","8.8","19.200000000000003","11.200000000000003","4.800000000000001","11.400000000000002","-5.799999999999999","16.800000000000004","-1.3999999999999986","-18.4","-18.8","12.600000000000001","-20","-4.6","14.200000000000003","-15.6","-3.8000000000000007","-12.399999999999999","-20","6.200000000000003","9.400000000000002","1","3","6","3","6","1","7","6","2","1","2","2","7","4","2","5","6","2","2","3","7","1","1","3","2","3","1","1","4","5","5","5","4","4","7","5","7","5","4","1","1","1","6","5","7","7","4","2","4","3","4","6","5","7","6","1","7","4","6","1","7","4","2","2","2","4","5","1","2","1","5","3","7","5","1","7","4","2","1","23"
"1","650","-9.399999999999999","19.200000000000003","-1.8000000000000007","12.200000000000003","10.400000000000002","18.200000000000003","15.600000000000001","15","-7.6","16.4","-6.199999999999999","2","6.200000000000003","-20","-7.6","-11.6","-14","13.800000000000004","6","-6.6","17","7.800000000000001","19.6","-13","-1.8000000000000007","-8.2","-15.399999999999999","10","20","-12","4.800000000000001","-9.6","8.400000000000002","-13.6","-9.399999999999999","18.200000000000003","6.400000000000002","-19.2","20","11.600000000000001","17.800000000000004","11.400000000000002","-18.2","-6.399999999999999","-9","-20","-10.799999999999999","-5.6","12.200000000000003","-8.2","-18.6","-14.6","-6","-15.6","-1.3999999999999986","19.800000000000004","11","10.600000000000001","7.400000000000002","11.200000000000003","9.600000000000001","1.6000000000000014","11.8","-5.799999999999999","16.800000000000004","-2.1999999999999993","-10","-20","17","-20","-4.199999999999999","4.200000000000003","-12","-11.4","-13","3","4.400000000000002","9.200000000000003","2","2","5","3","7","1","5","7","3","4","1","7","2","7","7","6","2","1","2","6","7","6","2","1","1","4","7","2","6","7","7","2","4","2","7","6","3","5","5","2","1","2","6","1","5","3","7","6","3","4","3","7","6","3","7","5","7","7","6","7","4","1","4","7","3","1","5","4","4","1","1","7","5","2","3","1","4","3","1","33"
"1","2414","-0.3999999999999986","20","-10.399999999999999","6.800000000000001","3.8000000000000007","8.400000000000002","20","15.600000000000001","-16.8","17.6","-12.2","3.400000000000002","-7","-20","-15.2","-10","-2.1999999999999993","8.8","-2.3999999999999986","17.200000000000003","20","-1.5999999999999979","14","-17.2","-4.799999999999999","-20","-17","19.6","12.800000000000004","-3.1999999999999993","9","-5.6","4.400000000000002","-11.6","-11.4","20","9.8","-9.399999999999999","20","15.399999999999999","10.400000000000002","3.6000000000000014","-11","-15","-7.199999999999999","-13","-0.3999999999999986","7","18.200000000000003","-7.399999999999999","-20","-18.2","4","-12.399999999999999","0.6000000000000014","11.8","15.600000000000001","13.399999999999999","18.200000000000003","19","20","-0.7999999999999972","3.6000000000000014","-12","20","-0.5999999999999979","-8","-14","20","-20","-19.2","2","-16.8","-1.5999999999999979","-9.399999999999999","-20","4","9.400000000000002","4","4","2","4","5","2","7","3","2","1","4","2","7","6","3","6","2","2","2","4","4","4","1","1","2","4","2","2","5","4","4","2","2","3","7","6","4","6","5","2","1","4","6","3","5","5","6","2","3","5","5","7","6","7","7","3","7","5","7","1","7","2","3","4","2","2","5","5","1","2","2","7","7","2","2","7","5","2","1","40"
"1","3154","15.800000000000004","20","-3.8000000000000007","-1.5999999999999979","6","7.600000000000001","20","15.200000000000003","-20","14","-12.2","1.4000000000000021","-8.799999999999999","-17.8","-6","-18.8","-8.6","17.800000000000004","-2.3999999999999986","20","15","-8.2","18.6","-20","-6.799999999999999","-20","7.200000000000003","11.400000000000002","14.399999999999999","-4.399999999999999","0.20000000000000284","-2","4.400000000000002","-14.6","-10","20","15.800000000000004","-1.5999999999999979","13.600000000000001","5.400000000000002","8.600000000000001","7","-11.6","-17","-5.399999999999999","-12","11.400000000000002","8","12.800000000000004","-4.199999999999999","-18.6","-17.6","8","-8.6","-0.7999999999999972","4.800000000000001","20","9.400000000000002","16.6","20","20","-5.199999999999999","3.400000000000002","-20","13.800000000000004","5.200000000000003","-14.6","-4","20","-19.2","-14.399999999999999","6.800000000000001","-13.399999999999999","-10.2","-9","-12","2.6000000000000014","9.600000000000001","4","4","1","4","7","1","6","3","2","1","5","1","4","6","1","7","1","3","1","5","6","1","1","4","1","4","2","1","7","7","7","3","2","2","6","4","6","5","4","5","6","4","4","2","5","4","2","2","4","2","7","3","6","7","5","2","6","4","6","1","7","1","3","6","4","2","1","7","7","2","1","5","6","1","1","2","4","1","1","43"
"1","3175","14.600000000000001","20","-17.2","7.600000000000001","9.400000000000002","-3.8000000000000007","19.400000000000006","19","-11.6","18.800000000000004","-11.4","3.400000000000002","-5.199999999999999","-20","-13.399999999999999","-11.4","-7.199999999999999","11","13","8.8","19.400000000000006","4.800000000000001","20","-11","-11.4","-20","16","18.200000000000003","11.600000000000001","2.400000000000002","4.200000000000003","-14.6","4.200000000000003","-12.8","-10","20","15.600000000000001","-13","15.399999999999999","12.200000000000003","7.400000000000002","2.400000000000002","-10.6","-14.8","-5.399999999999999","-10.799999999999999","12","8","9.8","4.600000000000001","-15.399999999999999","-10.6","8","-15.2","-0.7999999999999972","9.200000000000003","20","9.400000000000002","16.6","20","20","-5.199999999999999","3.400000000000002","-20","10.400000000000002","7.200000000000003","-14.6","-4","20","-19.2","-14.399999999999999","6.800000000000001","-13.399999999999999","-10.2","-9","-10","2.6000000000000014","9.600000000000001","4","4","1","4","7","1","6","3","2","1","5","1","4","6","1","7","1","3","1","5","6","1","1","4","1","4","2","1","7","7","7","3","2","2","6","4","6","5","4","5","6","4","4","2","5","4","2","2","4","2","7","3","6","7","5","2","6","4","6","1","7","1","4","6","4","2","1","7","7","2","1","5","6","1","1","2","4","3","1","46"
"1","3216","14.600000000000001","18.200000000000003","-17.2","7.600000000000001","9.400000000000002","-3.8000000000000007","19.400000000000006","12.600000000000001","-11.6","11.8","-11.4","3.400000000000002","-5.199999999999999","-20","-13.399999999999999","-11.4","-7.199999999999999","11","13","8.8","19.400000000000006","4.800000000000001","20","-11","-11.4","-20","16","18.200000000000003","11.600000000000001","2.400000000000002","4.200000000000003","-14.6","4.200000000000003","-12.8","-11.2","20","15.600000000000001","-13","15.399999999999999","12.200000000000003","7.400000000000002","2.400000000000002","-10.6","-14.8","-5.399999999999999","-10.799999999999999","12","8","9.8","4.600000000000001","-4.6","-12.8","8","-15.2","-0.7999999999999972","9.200000000000003","20","9.400000000000002","16.6","20","20","-5.199999999999999","3.400000000000002","-20","9.400000000000002","7.200000000000003","-14.6","-4","20","-19.2","-14.399999999999999","6.800000000000001","-13.399999999999999","-10.2","-9","-10","2.6000000000000014","9.600000000000001","4","4","1","4","7","1","7","3","2","1","5","1","4","6","1","7","1","3","1","5","6","1","1","4","1","4","2","1","7","7","7","3","2","2","6","4","6","5","4","5","6","4","4","2","5","4","2","2","5","2","7","3","6","7","5","1","6","4","6","1","7","1","2","7","5","2","1","7","7","1","1","5","6","1","1","4","6","3","1","52"
